"Gilt Name","Close of Business Date","ISIN","Type","Coupon","Maturity","Clean Price","Dirty Price","Yield","Mod Duration","Accrued Interest"
"UKS  12/35","17/11/2023","GB00B0127928","Strips","N/A","07/12/2035","59.918065","59.918065","4.297327","11.793055","N/A"
"UKR  03/36","17/11/2023","GB0032727876","Strips","N/A","07/03/2036","59.153587","59.153587","4.315607","12.036969","N/A"
"UKS  03/36","17/11/2023","GB0032729922","Strips","N/A","07/03/2036","59.153587","59.153587","4.315607","12.036969","N/A"
"UKS  06/36","17/11/2023","GB00B0127B43","Strips","N/A","07/06/2036","58.397178","58.397178","4.333572","12.280359","N/A"
"UKS  09/36","17/11/2023","GB00B61BCQ39","Strips","N/A","07/09/2036","57.646168","57.646168","4.351254","12.524223","N/A"
"UKS  12/36","17/11/2023","GB00B0126S45","Strips","N/A","07/12/2036","56.904007","56.904007","4.368544","12.767570","N/A"
"UKS  03/37","17/11/2023","GB00B61NZ372","Strips","N/A","07/03/2037","56.168023","56.168023","4.385477","13.011397","N/A"
"UKS  06/37","17/11/2023","GB00B0127L41","Strips","N/A","07/06/2037","55.441549","55.441549","4.401954","13.254715","N/A"
"UKS  09/37","17/11/2023","GB00B614YC20","Strips","N/A","07/09/2037","54.721921","54.721921","4.418017","13.498520","N/A"
"UKR  09/37","17/11/2023","GB00BZ4TGS74","Strips","N/A","07/09/2037","54.721921","54.721921","4.418017","13.498520","N/A"
"UKS  12/37","17/11/2023","GB00B0127N64","Strips","N/A","07/12/2037","54.012349","54.012349","4.433575","13.741821","N/A"
"UKS  03/38","17/11/2023","GB00B61NVB70","Strips","N/A","07/03/2038","53.310182","53.310182","4.448670","13.985616","N/A"
"UKS  06/38","17/11/2023","GB00B0127Q95","Strips","N/A","07/06/2038","52.618502","52.618502","4.463225","14.228914","N/A"
"UKS  09/38","17/11/2023","GB00B61LFW02","Strips","N/A","07/09/2038","51.934668","51.934668","4.477282","14.472711","N/A"
"UKR  12/38","17/11/2023","GB00B0125J88","Strips","N/A","07/12/2038","51.261631","51.261631","4.490774","14.716017","N/A"
"UKS  12/38","17/11/2023","GB00B0127W55","Strips","N/A","07/12/2038","51.261631","51.261631","4.490774","14.716017","N/A"
"UKS  03/39","17/11/2023","GB00B61HRJ92","Strips","N/A","07/03/2039","50.596773","50.596773","4.503746","14.959827","N/A"
"UKS  06/39","17/11/2023","GB00B0BDSR09","Strips","N/A","07/06/2039","49.942915","49.942915","4.516139","15.203150","N/A"
"UKR  09/39","17/11/2023","GB00B61LFT72","Strips","N/A","07/09/2039","49.297469","49.297469","4.527996","15.446984","N/A"
"UKS  09/39","17/11/2023","GB00B61NVD94","Strips","N/A","07/09/2039","49.297469","49.297469","4.527996","15.446984","N/A"
"UKS  12/39","17/11/2023","GB00B0BDSS16","Strips","N/A","07/12/2039","48.663130","48.663130","4.539269","15.690335","N/A"
